No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
81,201812051520T,MAL190660 27T,YL GINKGO EXTRACT 120MG TABLET,"YANLING NATURAL HYGIENE SDN. BHD., SELANGOR","YANLING NATURAL HYGIENE SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
82,201810251264T,MAL190660 26TC,FIBERUP SOLUBLE ACACIA SENEGAL SP. (RESIN) POWDER 6G,"PROCACIA INDUSTRIES SDN BHD, NEGERI SEMBILAN","NMY MANUFACTUR ING SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
83,201901071651T,MAL190660 25TC,CELLCODE TONGKAT ALI 150MG CAPSULE,"BUMINICHE TRADING SDN BHD,",PUSAT TEKNOLOGI HERBA,11/6/2019,11/6/2024,New Product Registration
84,201810091158T,MAL190660 24T,San Qi 475mg Tablets `C.F.T.`,CHUAN FENG TANG PHARMACEUTICA L (M) SDN BHD,"CHUAN FENG TANG PHARMACEUTI CAL CO., LTD. (TAOYUAN)",11/6/2019,11/6/2024,New Product Registration
85,201901091689T,MAL190660 23T,NUSHINE CRANBERRY 250MG CAPSULE,"BIOALPHA INTERNATIONAL SDN. BHD., SELANGOR","BIOALPHA INTERNATION AL SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
86,201901091692T,MAL190660 22T,APOTEC MAS COTEK 2G HERBAL TEABAG,"BIOALPHA INTERNATIONAL SDN. BHD., SELANGOR","BIOALPHA INTERNATION AL SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
87,201810301294T,MAL190660 21TC,ORIEN'S GARLIC 400MG CAPSULES,"ORIENS INTERNATIONAL SDN. BHD., KUALA LUMPUR","VIJAYANI NUTRACEUTIC ALS PRIVATE LIMITED, INDIA",11/6/2019,11/6/2024,New Product Registration
88,201811281465T,MAL190660 20T,APOTEC MISAI KUCING 2G TEABAG (JAVA TEA),"BIOALPHA INTERNATIONAL SDN. BHD., SELANGOR","BIOALPHA INTERNATION AL SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
89,201811081350T,MAL190660 19T,APOTEC SOURSOP LEAF 2G TEABAG,"BIOALPHA INTERNATIONAL SDN. BHD., SELANGOR","BIOALPHA INTERNATION AL SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
90,201810181201T,MAL190660 18TC,NATURE GROWN TONGKAT ALI EXTRACT 100MG CAPSULE,"MIRACLE POWER HERBS, PULAU PINANG","REISHILAB SDN BHD, SELANGOR.",11/6/2019,11/6/2024,New Product Registration
91,201812201640T,MAL190660 17TC,ACHLIM SKY FRUIT 450MG CAPSULE,"ACHLIM TRADING SDN BHD, KUALA LUMPUR","TST BIOCEUTICAL SDN. BHD., PERAK",11/6/2019,11/6/2024,New Product Registration
92,201812181598T,MAL190660 16TC,NATURE SPIRIT ORTHOSIPHON STAMINEUS 100MG CAPSULE,"NATURE SPIRIT SCIENCE RESEARCH SDN BHD, KUALA LUMPUR","REISHILAB SDN BHD, SELANGOR",11/6/2019,11/6/2024,New Product Registration
93,201901091690T,MAL190660 14T,APOTEC ZZZILIPTON CAPSULE,"BIOALPHA INTERNATIONAL SDN. BHD., SELANGOR","BIOALPHA INTERNATION AL SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
94,201811071347T E,MAL190660 13TCE,ALI SPRING ALI SHEN YUAN,"ENERGI UCARE GLOBAL LTD, LABUAN","BIO DELTA SDN BHD, NEGERI SEMBILAN",11/6/2019,11/6/2024,New Product Registration
473,20170107307A,MAL190760 25AZ,Betaprosalic Ointment,Noripharma Sdn. Bhd.,Noripharma Sdn. Bhd.(MALAYSI A),4/7/2019,4/7/2024,New Registration Approval
474,201711281126A,MAL190760 24AZ,Fuderm 2%w/w Cream,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.(MALAYS IA),4/7/2019,4/7/2024,New Registration Approval
475,201803130189 HA,MAL190760 23HAC,PRO XYLO (XYLAZINE INJECTION USP 100MG/ML),AMIPRO SDN. BHD.,Nectar Laboratories Private Limited(INDIA ),4/7/2019,4/7/2024,New Registration Approval
476,201801190013A,MAL190760 22AZ,panpriva 40mg Powder for Solution for Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.,PHARMANIAG A LIFESCIENCE SDN. BHD.(MALAYS IA),4/7/2019,4/7/2024,New Registration Approval
477,201801250038X,MAL190760 21XZ,Napa Extend (Paracetamol 665 mg ER Tablet),Vitamode Sdn.bhd,BEXIMCO PHARMACEUTI CAL LTD(BANGLAD ESH),4/7/2019,4/7/2024,New Registration Approval
478,201803020141 HA,MAL190760 20HAR,Nexgard Spectra 9mg/2mg Chewable Tablets for Dogs 2-3.5kg,Rhone Ma Malaysia Sdn Bhd,Merial Saude Animal Ltda(BRAZIL),4/7/2019,4/7/2024,New Registration Approval
479,201803280259A,MAL190760 19ACZ,Medisone Cream 0.1% W/W,World Medicare Supplies Sdn Bhd,SUNWARD PHARMACEUTI CAL SDN. BHD.(MALAYS IA),4/7/2019,4/7/2024,New Registration Approval
480,201803280251 HA,MAL190760 18HAR,Nexgard Spectra 19mg/4mg Chewable Tablets for Dogs >3.5-7.5kg,Rhone Ma Malaysia Sdn Bhd,Merial Saude Animal Ltda(BRAZIL),4/7/2019,4/7/2024,New Registration Approval
481,201803280252 HA,MAL190760 17HAR,Nexgard Spectra 38mg/8mg Chewable Tablets for Dogs >7.5-15kg,Rhone Ma Malaysia Sdn Bhd,Merial Saude Animal Ltda(BRAZIL),4/7/2019,4/7/2024,New Registration Approval
482,201803280253 HA,MAL190760 16HAR,Nexgard Spectra 75mg/15mg Chewable Tablets for Dogs >15-30kg,Rhone Ma Malaysia Sdn Bhd,Merial Saude Animal Ltda(BRAZIL),4/7/2019,4/7/2024,New Registration Approval
483,201803280254 HA,MAL190760 15HAR,Nexgard Spectra 150mg/30mg Chewable Tablets for Dogs >30-60kg,Rhone Ma Malaysia Sdn Bhd,Merial Saude Animal Ltda(BRAZIL),4/7/2019,4/7/2024,New Registration Approval
484,201806190598A,MAL190760 14AZ,hovid-Celecoxib Capsule 200mg,HOVID BERHAD,HOVID BERHAD(MAL AYSIA),4/7/2019,4/7/2024,New Registration Approval
485,201808080840 HA,MAL190760 13HA,Pharmasin® 250 mg/g Premix for Medicated Feeding Stuff,PAHANG PHARMACY SDN. BHD.,Biovet Joint Stock Company(BUL GARIA),4/7/2019,4/7/2024,New Registration Approval
486,201809271098 HA,MAL190760 12HA,Pharmasin® 100 mg/g Premix for Medicated Feeding Stuff,PAHANG PHARMACY SDN. BHD.,Biovet Joint Stock Company(BUL GARIA),4/7/2019,4/7/2024,New Registration Approval
487,201810101161 HA,MAL190760 11HA,HydroDoxx® 500 mg/g Powder for Use in Drinking Water for Chickens and Pigs,PAHANG PHARMACY SDN. BHD.,Biovet Joint Stock Company(BUL GARIA),4/7/2019,4/7/2024,New Registration Approval
488,201809271100X,MAL190760 10X,Citrex Glucosamine Chondroitin Capsule,IDAMAN PHARMA MANUFACTURIN G SDN BHD,IDAMAN PHARMA MANUFACTUR ING SDN BHD(MALAYSI A),4/7/2019,4/7/2024,New Registration Approval
489,201808290955A E,MAL190760 09AE,BROZIL Film Coated Tablet 600mg,Y.S.P. INDUSTRIES (M) SDN BHD,Y.S.P. INDUSTRIES (M) SDN BHD(MALAYSI A),4/7/2019,4/7/2024,New Registration Approval
490,201811301479X,MAL190760 08X,MUCOXOL TABLET 30mg,PURE NUTRITIONAL PRODUCTS SDN. BHD.,Noripharma Sdn. Bhd.(MALAYSI A),4/7/2019,4/7/2024,New Registration Approval
491,201812011482 HA,MAL190760 07HAC,COCCI 25%W/W PREMIX POWDER,Lim Seng Pharmachem Sdn Bhd,Thye Pharma Sdn. Bhd(MALAYSI A),4/7/2019,4/7/2024,New Registration Approval
492,201901131716X,MAL190760 06X,NEW AMMELTZ YOKO YOKO PLUS MASSAGE TOPICAL LIQUID,KOBAYASHI Healthcare (Malaysia) Sdn. Bhd.,SENDAI KOBAYASHI PHARM CO LTD(JAPAN),4/7/2019,4/7/2024,New Registration Approval
493,201902061797 HX,MAL190760 05HX,PREVIRON 200 mg/ml solution for injection,Hipra Malaysia Sdn Bhd,"Laboratorios Hipra, S.A.(SPAIN)",4/7/2019,4/7/2024,New Registration Approval
494,201901111709 HA,MAL190760 04HA,AMODEX 50% W/W WATER SOLUBLE POWDER,Dexchem Industries Sdn Bhd,Dexchem Industries Sdn Bhd(MALAYSI A),4/7/2019,4/7/2024,New Registration Approval
495,201901141722 HX,MAL190760 03HX,DEXHEXINE 2% W/W WATER SOLUBLE POWDER,Dexchem Industries Sdn Bhd,Dexchem Industries Sdn Bhd(MALAYSI A),4/7/2019,4/7/2024,New Registration Approval
496,201903261960 HA,MAL190760 02HA,Vimenro 10%w/v Injectable,Vemedim Sdn Bhd,"VEMEDIM VETERINARY DRUGS AND PROBIOTICS CO., LTD (VEMEDIM ANIMAL HEALTH)(VIET NAM)",4/7/2019,4/7/2024,New Registration Approval
497,201903141925 HA,MAL190760 01HAC,Flor Excel 250mg/ml Oral Solution,F.E. VENTURE SDN. BHD.,Shennong Animal Health (Malaysia) Sdn. Bhd.(MALAYSI A),4/7/2019,4/7/2024,New Registration Approval
1,201811151415T,MAL190560 58T,"""CHUANG SONG ZONG"" LIOW JIUN TZYY TANG EXTRACT POWDER","GREEN HERB BIOTECH SDN. BHD., MELAKA","CHUANG SONG ZONG PHARMACEUTI CAL CO., LTD, TAIWAN",14/5/2019,14/5/2024,New Product Registration
2,201811151414T,MAL190560 59T,"""CHUANG SONG ZONG"" CHYR JWO GUH BEEN WAN CONCENTRATED GRANULES","GREEN HERB BIOTECH SDN. BHD., MELAKA","CHUANG SONG ZONG PHARMACEUTI CAL CO., LTD, TAIWAN",14/5/2019,14/5/2024,New Product Registration
3,201811151412T,MAL190560 60T,"""CHUANG SONG ZONG"" XUAN FU DAI ZHE SHI TANG CONCENTRATED GRANULES","GREEN HERB BIOTECH SDN. BHD., MELAKA","CHUANG SONG ZONG PHARMACEUTI CAL CO., LTD, TAIWAN",14/5/2019,14/5/2024,New Product Registration
4,201810231246T,MAL190560 61T,"TSAN SU YIIN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN. BHD., SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",14/5/2019,14/5/2024,New Product Registration
5,201810231242T,MAL190560 62T,"BA JENG SAN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN. BHD., SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",14/5/2019,14/5/2024,New Product Registration
6,201810231248T,MAL190560 63T,QI BAO MEI RAN DAN EXTRACT GRANULES 'C.F.T.',"CHUAN FENG TANG PHARMACEUTICA L (M) SDN BHD, SELANGOR","CHUAN FENG TANG PHARMACEUTI CAL CO., LTD., TAIWAN",14/5/2019,14/5/2024,New Product Registration
7,201811051337T,MAL190560 64T,YI SHI YUAN WU LING SAN HEJI,"YI SI YUAN TRADING SDN. BHD., JOHOR","YI SHI YUAN PTE LTD, SINGAPORE",14/5/2019,14/5/2024,New Product Registration
8,201808270945T,MAL190560 65T,YI SHI YUAN SI JUN ZI TANG,"YI SI YUAN TRADING SDN. BHD., JOHOR","YI SHI YUAN PTE LTD, SINGAPORE",14/5/2019,14/5/2024,New Product Registration
9,201810231240T,MAL190560 66T,"JENQ GUU TZYY JIN DAN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD, SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",14/5/2019,14/5/2024,New Product Registration
10,201810181220T,MAL190560 67TC,''TIMING'' NEW YOW KUEI WAN EXTRACT GRANULES,"TIMING HERBS SDN BHD, PERAK","WAN YEEN TRADING SDN. BHD., PERAK",14/5/2019,14/5/2024,New Product Registration
11,201808100859T,MAL190560 68T,YI SHI YUAN QI WEI BAI ZHU FINE POWDER,"YI SI YUAN TRADING SDN. BHD., JOHOR","YI SHI YUAN PTE LTD, SINGAPORE",14/5/2019,14/5/2024,New Product Registration
12,201808240925T,MAL190560 69T,"YIH GAN SAN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD, SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",14/5/2019,14/5/2024,New Product Registration
13,201809071022T,MAL190560 70T,YI SHI YUAN BA ZHENG SAN HEJI,"YI SI YUAN TRADING SDN. BHD., JOHOR","YI SHI YUAN PTE LTD, SINGAPORE",14/5/2019,14/5/2024,New Product Registration
14,201809071019T,MAL190560 71T,YI SHI YUAN XIN SANG JU YIN,"YI SI YUAN TRADING SDN. BHD., JOHOR","YI SHI YUAN PTE LTD, SINGAPORE",14/5/2019,14/5/2024,New Product Registration
15,201809071029T,MAL190560 72TC,4LIFE BRN CAPSULE,"FORLIFE RESEARCH IMPORTS SDN BHD, SELANGOR","BIOMEDICAL RESEARCH LAB, LLC, UNITED STATES",14/5/2019,14/5/2024,New Product Registration
16,201810311305T,MAL190560 73T,THE HERBAL CO. VENTOVIVE TABLET,"POWERLIFE (M) SDN BHD, NEGERI SEMBILAN","BACFO PHARMACEUTI CALS (INDIA) LIMITED, INDIA",14/5/2019,14/5/2024,New Product Registration
17,201809050977T,MAL190560 74TC,NSF-3 TABLET,"BIOCARE PHARMACEUTICA L (M) SDN. BHD., SELANGOR","TABLETS (INDIA) LIMITED, INDIA",14/5/2019,14/5/2024,New Product Registration
18,201808300959T,MAL190560 75TC,MUNTONG MORINGA LEAF & EXTRACT CAPSULE,"BENTONG MORINGA SDN BHD, SELANGOR","THE MITOMASA SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
19,201810231239T,MAL190560 57TC,TROPIKA LOH MINYAK GAMAT PLUS,"TROPIKA LOH SDN BHD, PULAU PINANG","GAMAT ASLI ENTERPRISE, KEDAH",14/5/2019,14/5/2024,New Product Registration
20,201812031488T,MAL190560 76TC,FJ AEQUIN TABLET 170MG,"FITRAH JUNIOR RESOURCES, JOHOR","SARI TANI DESA SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
21,201810291276T,MAL190560 77T,PROSEE CAPSULE,"THIALLAN BIOHERBS SDN BHD, SELANGOR","THIALLAN BIOHERBS SDN BHD, SELANGOR",14/5/2019,14/5/2024,New Product Registration
22,201811021326T,MAL190560 78T,EROJAN CAPSULE,"MOH PHARMACEUTICA L TECHNOLOGIES SDN. BHD., SELANGOR","MOH PHARMACEUTI CAL TECHNOLOGIE S SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
23,201807170726T,MAL190560 79TC,LIVERIC CAPSULE,"MB NUTRACEUTICAL S SDN BHD, KUALA LUMPUR","YANLING NATURAL HYGIENE SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
24,201810261271T,MAL190560 80TC,MANZ CAPSULE,"SPECIAL ENHANCEMENT SDN BHD, SELANGOR","ESPRIT CARE SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
25,201809281111T,MAL190560 81T,HT CARE TMM CORDYCEPS PLUS CAPSULE,"THE ORIGIN FOODS SDN BHD, SELANGOR","THE ORIGIN FOODS SDN BHD, SELANGOR",14/5/2019,14/5/2024,New Product Registration
26,201810021125T,MAL190560 82TC,BEAU QUEEN PILL,"RISING SUN ENRICH SDN BHD, SELANGOR","EXCEL HERBAL INDUSTRIES SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
27,201809060999T,MAL190560 83TC,GMAN POWDER 10.55GM,"TNT AGROTECH SDN BHD, KUALA LUMPUR","TST BIOCEUTICAL SDN. BHD., PERAK",14/5/2019,14/5/2024,New Product Registration
28,201810261269T,MAL190560 84TC,BIOBAY PANVESTIN CAPSULE,"SPECIAL ENHANCEMENT SDN BHD, SELANGOR","ESPRIT CARE SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
29,201810281274T,MAL190560 85TC,WOWE AFRICAN MANGO PLUS CHEWABLE TABLET,"MRZ HERBAL HEALTHY CARE, KEDAH","DZ TRADE (MALAYSIA) SDN. BHD., KEDAH",14/5/2019,14/5/2024,New Product Registration
30,201809141045T,MAL190560 86T,SHU DI HUANG 0.44G/1.0G EXTRACT POWDERS “SUN TEN”,"SUN TEN PHARMACEUTICA L MFG (M) SDN. BHD, KUALA LUMPUR","SUN TEN PHARMACEUTI CAL CO. LTD., TAIWAN",14/5/2019,14/5/2024,New Product Registration
31,201809281109T,MAL190560 87T,HT CARE CORDYCEPS SINENSIS 250MG CAPSULE,"THE ORIGIN FOODS SDN. BHD., SELANGOR","THE ORIGIN FOODS SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
32,201810181212T,MAL190560 88TC,HERBS & LIFE PHYLLANTHUS NIRURI EXTRACT 100MG CAPSULE,"BOTANICALAB SDN BHD, SELANGOR","REISHILAB SDN BHD, SELANGOR",14/5/2019,14/5/2024,New Product Registration
33,201810161183T,MAL190560 89T,APOTEC ECHINACEA 250MG CAPSULE,"BIOALPHA INTERNATIONAL SDN. BHD.,SELANGOR","BIOALPHA INTERNATION AL SDN. BHD.,SELANG OR",14/5/2019,14/5/2024,New Product Registration
34,201812041497T,MAL190560 90T,EXCEL HERBAL MOMORDICA CHARANTIA 450MG CAPSULE,"EXCEL HERBAL INDUSTRIES SDN. BHD.,SELANGOR","EXCEL HERBAL INDUSTRIES SDN. BHD.,SELANG OR",14/5/2019,14/5/2024,New Product Registration
35,201810181205T,MAL190560 91TC,HOPEMATIC TIGER MILK MUSHROOM 300MG CAPSULE,"HOPEMATIC SDN BHD, SELANGOR","THE ORIGIN FOODS SDN. BHD., SELANGOR",14/5/2019,14/5/2024,New Product Registration
36,201812181599T,MAL190560 92TC,NATURE SPIRIT ANDROGRAPHIS PANICULATA 100MG CAPSULE,"NATURE SPIRIT SCIENCE RESEARCH SDN BHD, KUALA LUMPUR","REISHILAB SDN BHD, SELANGOR",14/5/2019,14/5/2024,New Product Registration
37,201810181223T,MAL190560 93T,FLAVON CAPSULES,"DRAGON GINSENG BIO- TECH SDN BHD, SELANGOR","DRAGON GINSENG BIO- TECH SDN BHD, SELANGOR",14/5/2019,14/5/2024,New Product Registration
38,201810301292T,MAL190560 94TC,PHM GRAPE SEED EXTRACT 300MG CAPSULE,"ORIONIX SDN BHD,SELANGOR","ESPRIT CARE SDN. BHD.,SELANG OR",14/5/2019,14/5/2024,New Product Registration
39,201901181732T,MAL190560 95TC,ASCENTIA BLACK CUMIN OIL 500MG SOFTGEL,"ASCENTIA HEALTHCARE PLT, JOHOR","HALAGEL PLANT (M) SDN. BHD., KEDAH",14/5/2019,14/5/2024,New Product Registration
40,201810221237T,MAL190560 96TC,GSE CAPSULE,"STELLAR BIO SDN BHD, SELANGOR","ESPRIT CARE SDN. BHD.,SELANG OR",14/5/2019,14/5/2024,New Product Registration
41,201810311301T,MAL190560 99TC,TRUVIGOR MARSHMALLOW ROOT 150MG CAPSULE,"ENERBRIQ SDN BHD, SELANGOR","REISHILAB SDN BHD, SELANGOR",14/5/2019,14/5/2024,New Product Registration
42,201810181200T,MAL190560 97TC,NATURE GROWN KACIP FATIMAH 100MG CAPSULE,"MIRACLE POWER HERBS, PULAU PINANG","REISHILAB SDN BHD, SELANGOR",14/5/2019,14/5/2024,New Product Registration
43,201810181204T,MAL190560 98TC,LJACK MARSHMALLOW 150MG CAPSULE,"LJACK (M) SDN BHD, SELANGOR","REISHILAB SDN BHD, SELANGOR",14/5/2019,14/5/2024,New Product Registration
44,201812201634 N,MAL190560 46NCR,KORDEL’S LECITHIN 1200MG SOFTGEL,"CAMBERT (M) SDN. BHD., SELANGOR.","GMP PHARMACEUTI CALS LTD., NEW ZEALAND.",14/5/2019,14/5/2024,New Product Registration
45,201812021483 N,MAL190560 47NC,NUTRIGO OMEGA 3 FISH OIL 1200MG CAPSULES,"NUTRIGO SDN. BHD, KUALA LUMPUR.","GMP PHARMACEUTI CALS LTD., NEW ZEALAND",14/5/2019,14/5/2024,New Product Registration
46,201812171586 N,MAL190560 48NC,LUCKYANGEL2U INOSITOL 500MG CAPSULE,"LUCKYANGEL TO U, KEDAH.","ALPHA ACTIVE INDUSTRIES SDN. BHD., SELANGOR.",14/5/2019,14/5/2024,New Product Registration
47,201901141717 N,MAL190560 49NCR,KORDEL’S ROYAL JELLY FRESH 1020MG SOFTGEL,"CAMBERT (M) SDN. BHD., SELANGOR.","GMP PHARMACEUTI CALS LTD., NEW ZEALAND.",14/5/2019,14/5/2024,New Product Registration
48,201811081358 N,MAL190560 50NCR,BIO-LIFE EVENING PRIMROSE OIL 1000MG VEGETABLE SOFTGEL CAPSULE,"BIO-LIFE MARKETING SDN BHD,","MEGA LIFESCIENCES PUBLIC COMPANY LIMITED., THAILAND",14/5/2019,14/5/2024,New Product Registration
49,201810011118 N,MAL190560 51NCR,BIO-LIFE IMUNIX CAPSULE,"BIO-LIFE MARKETING SDN. BHD.,","MEGA LIFESCIENCES (AUSTRALIA) PTY. LTD.,AUSTRAL IA.",14/5/2019,14/5/2024,New Product Registration
50,201901141718 N,MAL190560 52NCR,VITAHEALTH SUPA GARLIC PLUS SOFTGEL,"VITAHEALTH MALAYSIA SDN. BHD.,","GMP PHARMACEUTI CALS LTD.,",14/5/2019,14/5/2024,New Product Registration
51,201811151405 N,MAL190560 53NCR,,"THERAPEUTIC NUTRACEUTICAL S SDN. BHD., SELANGOR.","GMP PHARMACEUTI CALS LTD.,NEW ZEALAND",14/5/2019,14/5/2024,New Product Registration
52,201811021320,MAL190560 54NCR,GOLD LIFE® ODOURLESS BIO-OMEGA FISH OIL 1000MG + NATURAL VITAMIN E 50IU SOFTGEL CAPSULE,"MEDIPHARM INDUSTRIES SDN. BHD., PERAK.","ALPHA LABORATORIE S (NZ) LIMITED, NEW ZEALAND.",14/5/2019,14/5/2024,New Product Registration
53,201901291767 N,MAL190560 55NCR,EUROBIO® ALA PRO COMPLEX ACTIVE FORMULA SOFTGEL,"EUROBIO SDN. BHD.,","GMP PHARMACEUTI CALS LTD.,NEW ZEALAND",14/5/2019,14/5/2024,New Product Registration
54,201901071653 N,MAL190560 56NCR,FOERDE F2-M BAC LIQUID SPRAY,"FF-IMT SDN. BHD.,","MIKROVEDA GMBH, GERMANY.",14/5/2019,14/5/2024,New Product Registration
407,20170107340A,MAL190561 12AZ,"(LATANOPROST 0.05 MG/ML AND TIMOLOL 5MG/ML, EYE DROPS)",ARMS PHARMA SDN. BHD.,M/s. INDOCO REMEDIES LIMITED(INDI A),30/5/2019,30/5/2024,New Registration Approval
408,20170107342A,MAL190561 11ACZ,"XALANOTIM EYE DROPS, SOLUTION",Generic Partners (M) Sdn Bhd,S.C. ROMPHARM COMPANY S.R.L.(ROMAN IA) ALKEM,30/5/2019,30/5/2024,New Registration Approval
409,201710130892A,MAL190561 10AZ,TSART 40 (TELMISARTAN TABLETS USP 40MG),Ascend Laboratories Sdn Bhd,LABORATORIE S LIMITED(INDI A),30/5/2019,30/5/2024,New Registration Approval
410,201710130893A,MAL190561 13AZ,TSART 80 (TELMISARTAN TABLETS USP 80MG),Ascend Laboratories Sdn Bhd,ALKEM LABORATORIE S LIMITED(INDI A),30/5/2019,30/5/2024,New Registration Approval
411,201709080778A,MAL190561 14AZ,SALTAMOL 100 mcg/dose HFA METERED DOSE INHALER,MEDISPEC (M) SDN.BHD,Square Phamarceutic als Ltd.(BANGLAD ESH),30/5/2019,30/5/2024,New Registration Approval
412,201712221269A,MAL190561 00AZ,AMGEVITA 20 mg/0.4 ml solution for injection in pre- filled syringe,ZUELLIG PHARMA SDN BHD,"Amgen manufactuirng ,Ltd(UNITED STATES)",30/5/2019,30/5/2024,New Registration Approval
413,201712221270A,MAL190561 01AZ,AMGEVITA 40 mg/0.8 ml solution for injection in pre- filled syringe,ZUELLIG PHARMA SDN BHD,"Amgen manufactuirng ,Ltd(UNITED STATES)",30/5/2019,30/5/2024,New Registration Approval
414,201802050052A,MAL190561 03ACRZ,ICLUSIG FILM- COATED TABLET 45 MG,SMART MEDICINE SDN. BHD.,PATHEON INC.(CANADA ),30/5/2019,30/5/2024,New Registration Approval
415,201802050053A,MAL190561 02ACRZ,ICLUSIG FILM- COATED TABLET 15 MG,SMART MEDICINE SDN. BHD.,PATHEON INC.(CANADA ),30/5/2019,30/5/2024,New Registration Approval
416,201802150101A,MAL190561 15AZ,SYNERRV DESLORATADIN E 5 (DESLORATADI NE TABLETS 5MG),SYNERRV SDN BHD,IND-SWIFT LIMITED(INDI A),30/5/2019,30/5/2024,New Registration Approval
417,201803070174A,MAL190561 16ACZ,BACTAFUZ Fusidic Acid Cream 2% w/w,PAHANG PHARMACY SDN. BHD.,ENCUBE ETHICALS PVT LTD(INDIA),30/5/2019,30/5/2024,New Registration Approval
418,201803020150A,MAL190561 17ACZ,hovid- Telmisartan Tablet 80mg,HOVID BERHAD,Jubilant Generics Limited(INDIA ),30/5/2019,30/5/2024,New Registration Approval
419,201803020151A,MAL190561 18ACZ,hovid- Telmisartan Tablet 40mg,HOVID BERHAD,Jubilant Generics Limited(INDIA ),30/5/2019,30/5/2024,New Registration Approval
420,201803190205A,MAL190561 20AZ,Bezartan Tablet 300mg,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTUR ING (BANGI) SDN BHD(MALAYSI A),30/5/2019,30/5/2024,New Registration Approval
421,201803190206A,MAL190561 19AZ,Bezartan Tablet 150mg,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTUR ING (BANGI) SDN BHD(MALAYSI A),30/5/2019,30/5/2024,New Registration Approval
422,201804130334A,MAL190561 04AZ,"BEVESPI AEROSPHERE 7.2 / 5.0 micrograms pressurised inhalation, suspension",ASTRAZENECA SDN. BHD.,ASTRAZENEC A DUNKERQUE PRODUCTION (AZDP)(FRAN CE),30/5/2019,30/5/2024,New Registration Approval
423,201804040276A,MAL190561 21ASZ,Imbruvica 140mg Capsules,JOHNSON & JOHNSON SDN BHD,Cilag AG(SWITZERL AND),30/5/2019,30/5/2024,New Registration Approval
424,201804040277A,MAL190561 22AZ,Regivell Heavy 0.5% Solution for Injection,IMEKS PHARMA SDN. BHD.,PT NOVELL PHARMACEUTI CAL LABORATORIE S.(INDONESI A),30/5/2019,30/5/2024,New Registration Approval
425,201806070553A,MAL190561 23AZ,DASVIR 30 (DACLATASVIR TABLETS 30 MG),SYNERRV SDN BHD,Hetero Labs Limited(INDIA ),30/5/2019,30/5/2024,New Registration Approval
426,201806070554A,MAL190561 24AZ,DASVIR 60 (DACLATASVIR TABLETS 60 MG),SYNERRV SDN BHD,Hetero Labs Limited(INDIA ),30/5/2019,30/5/2024,New Registration Approval
427,201806130588X,MAL190561 31X,+P MAXIVIT Softgel Capsules (Vitamin D3 50000 I.U),HEALOL PHARMACEUTICA LS SDN. BHD.,Geltec Private Limited(INDIA ),30/5/2019,30/5/2024,New Registration Approval
428,201807170727X,MAL190561 25X,Belcid Forte Suspension,MEDISPEC (M) SDN.BHD,"Biolab Co., Ltd(THAILAND )",30/5/2019,30/5/2024,New Registration Approval
429,201806060545A E,MAL190561 26AE,H-CORT CREAM Hydrocortisone 0.5% w/w,HOE PHARMACEUTICA LS SDN. BHD.,HOE PHARMACEUTI CALS SDN. BHD.(MALAYS IA),30/5/2019,30/5/2024,New Registration Approval
430,201806060546A E,MAL190561 27AE,HOE Hydrocortisone Acetate 1% w/w Cream,HOE PHARMACEUTICA LS SDN. BHD.,HOE PHARMACEUTI CALS SDN. BHD.(MALAYS IA),30/5/2019,30/5/2024,New Registration Approval
